Название эксперимента: 1212
Описание: wqqweqwe
Время начала: 2025-08-29 03:05:23

timestamp,parameter,value,unit
2025-08-29 03:05:28,raw_data,Подключение к COM-порту /dev/ttys008 установлено. Ожидание данных...,
2025-08-29 03:05:40,raw_data,20250829030540	Е=344334,
2025-08-29 03:05:47,raw_data,20250829030547	Е=344334,
2025-08-29 03:05:47,raw_data,20250829030547	Е=344334,
2025-08-29 03:05:48,raw_data,20250829030548	Е=344334,
2025-08-29 03:05:48,raw_data,20250829030548	Е=344334,
2025-08-29 03:05:48,raw_data,20250829030548	Е=344334,
2025-08-29 03:05:48,raw_data,20250829030548	Е=344334,

Время окончания: 2025-08-29 03:05:53
Длительность эксперимента: 29.8280595s
